Recipe:
1-Pot, 3-Bean Chicken Stew Recipe - Allrecipes.com
1.0,tablespoon,vegetable oil
83.0,ounce,mushroom
0.25,cup,white onion
0.25,cup,celery
0.25,cup,red bell pepper
0.25,cup,carrot
3.0,clove,garlic
1.0,dash,salt and pepper
29.0,ounce,chicken broth
15.0,ounce,cream-style corn
5.0,ounce,chicken
1.0,tablespoon,rice vinegar
2.0,teaspoon,allspice
1.0,tablespoon,cornstarch
0.5,cup,milk
15.0,leaves,basil

Recipe:
Asian Chicken Noodle Soup Recipe - Allrecipes.com
4.0,ounce,spaghetti
14.5,ounce,chicken broth
6.0,whole,shiitake mushroom
2.0,whole,green onion
1.0,whole,chicken breast
2.0,whole,egg

Recipe:
Asian Chicken Noodle Soup Recipe - Allrecipes.com
12.0,whole,chicken
2.0,tablespoon,garlic powder
2.0,tablespoon,ginger
2.5,ounce,vegetable oil
0.25,cup,sherry
2.0,tablespoon,white vinegar
0.25,cup,soy sauce
10.0,ounce,mixed vegetables
6.0,ounce,fettuccine

Recipe:
Asian Mushroom Soup Recipe - Allrecipes.com
4.0,cup,chicken broth
3.0,tablespoon,soy sauce
2.0,teaspoon,ginger
1.0,clove,garlic
3.0,cup,portabella cap
3.0,cup,cabbage
1.0,cup,carrot
2.0,cup,chicken breast
2.0,cup,udon noodle
1.0,cup,green onion
2.0,cup,spinach
1.0,dash,pepper
1.0,tablespoon,mirin

Recipe:
Asparagus Cheese Soup Recipe - Allrecipes.com
2.0,cup,water
1.0,teaspoon,chicken bouillon
0.25,teaspoon,salt
0.25,teaspoon,italian seasoning
0.25,teaspoon,pepper
0.75,pound,asparagus
4.0,slice,mozzarella
1.0,strip,vegetarian burger

Recipe:
Asparagus Potato Soup Recipe - Allrecipes.com
2.0,cup,potato
0.5,pound,asparagus
0.5,cup,white onion
1.0,rib,celery
1.0,tablespoon,chicken bouillon
4.0,cup,water
0.25,cup,butter
0.5,cup,flour
1.0,cup,whipping cream
0.5,cup,milk
0.5,teaspoon,salt
1.0,dash,pepper
1.0,strip,vegetarian burger
0.75,cup,cheddar cheese

Recipe:
Asparagus Soup Recipe - Allrecipes.com
1.0,whole,white onion
2.0,tablespoon,butter
1.0,pound,asparagus
1.0,cup,vegetable broth
1.0,dash,garlic powder
1.0,dash,pepper
1.0,cup,milk

Recipe:
Asparagus Soup I Recipe - Allrecipes.com
4.0,whole,potato
2.0,cube,chicken bouillon
20.0,ounce,asparagus
1.0,tablespoon,fennel seed
0.5,teaspoon,pepper
1.0,tablespoon,half-and-half

Recipe:
Asparagus Soup II Recipe - Allrecipes.com
1.5,pound,asparagus
1.0,whole,leek
6.0,cup,water
1.0,tablespoon,olive oil
1.0,tablespoon,butter
1.0,whole,white onion
2.5,tablespoon,rice
1.0,whole,salt
1.0,pinch,pepper
0.5,teaspoon,lemon juice

Recipe:
Asparagus Soup in Seconds Recipe - Allrecipes.com
15.0,ounce,asparagus
14.5,ounce,chicken broth
0.5,cup,milk
1.0,tablespoon,butter
1.0,dash,salt and pepper

Recipe:
Atlantic Corn Chowder Recipe - Allrecipes.com
3.0,whole,potato
1.0,whole,white onion
1.5,cup,evaporated milk
14.75,ounce,cream-style corn

Recipe:
Atlas Mountain Soup Recipe - Allrecipes.com
0.75,cup,apricot
2.0,tablespoon,olive oil
2.0,clove,garlic
2.0,teaspoon,cinnamon
2.0,teaspoon,cumin
2.0,teaspoon,paprika
1.0,pound,lamb
4.0,stalk,celery
1.0,whole,red bell pepper
1.0,pound,roma tomato
1.0,whole,lemon
1.25,cup,water
1.0,tablespoon,white sugar
1.0,dash,pepper

Recipe:
Atomic Canuck Chili Recipe - Allrecipes.com
2.0,pound,ground beef
0.5,whole,white onion
1.5,ounce,red pepper
3.0,tablespoon,garlic powder
1.0,tablespoon,pepper
8.0,ounce,mushroom
28.0,ounce,refried bean
30.5,ounce,red kidney bean
12.0,ounce,tomato paste
0.25,cup,white sugar
3.0,whole,carrot
3.0,stalk,celery
8.0,ounce,red bell pepper
2.0,whole,jalapeno
0.25,cup,beer
1.0,whole,chile sauce
0.25,cup,barbeque sauce

Recipe:
Audry's Shrimp Stew Recipe - Allrecipes.com
0.33,cup,vegetable oil
0.5,cup,flour
1.0,whole,white onion
1.0,cup,shrimp
3.0,cup,water
2.0,tablespoon,red bell pepper
2.0,tablespoon,celery
1.0,tablespoon,fresh parsley
0.5,teaspoon,salt
0.25,tablespoon,pepper

Recipe:
Aunt Dot's Brunswick Stew Recipe - Allrecipes.com
2.0,cup,water
2.0,whole,potato
1.0,whole,white onion
15.0,ounce,pea
15.25,ounce,fresh corn
29.0,ounce,diced tomato
1.0,pound,ground turkey
4.0,slice,bacon
3.0,teaspoon,salt
3.0,teaspoon,pepper
3.0,teaspoon,garlic
1.0,tablespoon,white sugar
1.0,tablespoon,flour

Recipe:
